P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
chilensis	antarcticus	maccormicki	0.194585	21.5719	0	0.195789	4551.68	4299.88	2899.07
chilensis	antarcticus	pomarinus	0.0272827	2.27402	0.0229648	0.0179176	17521	2267.7	2147.25
chilensis	antarcticus	skua	0.250984	22.556	0	0.157449	4811.56	4291.1	2569.26
maccormicki	antarcticus	pomarinus	0.0393051	4.82961	1.36798e-06	0.0213701	32554.3	4036.44	3731.14
maccormicki	antarcticus	skua	0.244343	44.2248	0	0.153846	7641.56	6908.41	4195.29
antarcticus	skua	pomarinus	0.0451425	3.70691	0.000209801	0.0311825	25851.6	3940.12	3599.75
maccormicki	chilensis	pomarinus	0.0134886	1.61524	0.106259	0.0100613	15911.6	2519.94	2452.87
chilensis	maccormicki	skua	0.00548095	0.510308	0.609836	0.00375223	4323.82	3697.03	3656.73
chilensis	skua	pomarinus	0.0780416	7.88943	3.03566e-15	0.0690149	14173.7	2951.81	2524.44
maccormicki	skua	pomarinus	0.0689607	6.9176	4.59371e-12	0.0528236	23560.6	4518.49	3935.5
